dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,4.726843,11.018653,0.200000,2.000000,10.000000,50.000000,6.235249
0.200000,5.483651,10.920484,0.963149,3.815743,9.078713,-4.606437,6.071240
0.200000,6.676514,10.483205,2.233634,6.352429,12.683433,18.023602,5.796718
0.200000,8.016141,9.503718,3.893151,8.297585,9.725778,-14.788274,5.532288
0.200000,9.311117,8.122703,5.786340,9.465945,5.841800,-19.419892,5.438321
0.200000,10.595810,6.846627,7.597087,9.053736,-2.061043,-39.514213,5.624928
0.200000,11.940121,6.231092,9.075619,7.392657,-8.305395,-31.221761,6.129794
0.200000,13.789565,6.188327,10.925558,9.249696,9.285194,87.952943,6.265723
0.200000,15.747880,6.178332,12.883898,9.791699,2.710017,-32.875884,0.024049
0.200000,17.572135,6.347373,14.715968,9.160351,-3.156741,-29.333790,0.189905
0.200000,19.083614,6.904753,16.326944,8.054878,-5.527365,-11.853120,0.569240
0.200000,20.023058,7.901838,17.696883,6.849695,-6.025918,-2.492766,1.052235
0.200000,20.462292,9.064415,18.939668,6.213924,-3.178855,14.235317,1.338912
0.200000,20.619922,10.048376,19.936174,4.982530,-6.156966,-14.890558,1.475346
0.200000,20.660956,10.715369,20.604428,3.341271,-8.206299,-10.246664,1.540688
0.200000,20.666270,11.023702,20.912807,1.541898,-8.996864,-3.952824,1.566007
0.200000,20.666418,11.085773,20.974878,0.310352,-6.157729,14.195674,1.570796
0.200000,20.666418,11.085773,20.974878,0.000000,-1.551760,23.029846,1.570796
