dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,4.678925,10.019802,0.200000,2.000000,10.000000,50.000000,6.235249
0.200000,5.273290,9.942860,0.800000,4.000000,10.000000,0.000000,6.071240
0.200000,6.209008,9.599215,1.800000,6.000000,10.000000,0.000000,5.796718
0.200000,7.333846,8.772641,3.200000,8.000000,10.000000,0.000000,5.532288
0.200000,8.563236,7.458870,5.000000,10.000000,10.000000,0.000000,5.438321
0.200000,9.984070,6.055567,7.000000,10.000000,0.000000,-50.000000,5.624928
0.200000,11.787330,5.242833,9.000000,10.000000,0.000000,0.000000,6.129794
0.200000,13.772104,5.188480,11.000000,10.000000,0.000000,0.000000,6.265723
0.200000,15.771927,5.178621,13.000000,10.000000,0.000000,0.000000,0.024049
0.200000,17.760901,5.365351,15.000000,10.000000,0.000000,0.000000,0.189905
0.200000,19.622606,6.062442,17.000000,10.000000,0.000000,0.000000,0.569240
0.200000,20.891591,7.406206,18.866856,8.668555,-6.657223,-33.286114,1.052235
0.200000,21.435527,8.834603,20.400567,6.668555,-10.000000,-16.713886,1.338912
0.200000,21.615370,9.953070,21.534278,4.668555,-10.000000,0.000000,1.475346
0.200000,21.660503,10.685264,22.267989,2.668555,-10.000000,0.000000,1.540688
0.200000,21.666258,11.018913,22.601700,0.668555,-10.000000,0.000000,1.566007
0.200000,21.666418,11.085773,22.668555,0.000000,-3.342777,33.286114,1.570796
0.200000,21.666418,11.085773,22.668555,0.000000,0.000000,16.713886,1.570796
