dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,4.631007,9.020951,0.200000,2.000000,10.000000,50.000000,6.235249
0.200000,5.062928,8.965236,0.635500,2.177499,0.887496,-45.562519,6.071240
0.200000,5.741501,8.715226,1.358665,3.615825,7.191627,31.520653,5.796718
0.200000,6.651551,8.041564,2.490923,5.661293,10.227341,15.178571,5.532288
0.200000,7.815354,6.795038,4.196288,8.526822,14.327646,20.501525,5.438321
0.200000,9.372331,5.264508,6.379564,10.916383,11.947807,-11.899193,5.624928
0.200000,11.634539,4.254575,8.856973,12.387042,7.353294,-22.972568,6.129794
0.200000,13.754643,4.188632,10.978102,10.605646,-8.906983,-81.301385,6.265723
0.200000,15.795973,4.178910,13.019455,10.206766,-1.994398,34.562927,0.024049
0.200000,17.949667,4.383329,15.182828,10.816864,3.050492,25.224450,0.189905
0.200000,20.161598,5.220131,17.547755,11.824635,5.038852,9.941797,0.569240
0.200000,21.760124,6.910575,19.874316,11.632804,-0.959152,-29.990020,1.052235
0.200000,22.408763,8.604791,21.688455,9.070695,-12.810545,-59.256961,1.338912
0.200000,22.610818,9.857765,22.957615,6.345802,-13.624465,-4.069601,1.475346
0.200000,22.660050,10.655160,23.756529,3.994569,-11.756169,9.341480,1.540688
0.200000,22.666247,11.014123,24.115545,1.795081,-10.997437,3.793659,1.566007
0.200000,22.666418,11.085773,24.187195,0.358249,-7.184160,19.066384,1.570796
0.200000,22.666418,11.085773,24.187195,0.000000,-1.791247,26.964567,1.570796
